,year,month,value,rate,city
250,2020,December,34062,4.8,raleigh
251,2020,December,62305,5.5,charlotte
252,2020,February,11480,3.5,winstonsalem
253,2020,February,14091,3.8,greensboro
254,2020,February,23789,3.3,raleigh
255,2020,February,41204,3.5,charlotte
256,2020,January,11946,3.7,winstonsalem
257,2020,January,14673,4.0,greensboro
258,2020,January,24561,3.4,raleigh
259,2020,January,42398,3.7,charlotte
260,2020,July,108344,9.4,charlotte
261,2020,July,28613,9.1,winstonsalem
262,2020,July,37868,10.8,greensboro
263,2020,July,57704,8.2,raleigh
264,2020,June,116312,10.2,charlotte
265,2020,June,31012,9.9,winstonsalem
266,2020,June,40987,11.6,greensboro
267,2020,June,62659,9.0,raleigh
268,2020,March,13766,4.4,winstonsalem
269,2020,March,16969,4.8,greensboro
270,2020,March,28689,4.1,raleigh
271,2020,March,49413,4.4,charlotte
272,2020,May,137918,12.4,charlotte
273,2020,May,36547,11.9,winstonsalem
274,2020,May,46926,13.5,greensboro
275,2020,May,72110,10.6,raleigh
276,2020,November,17215,5.5,winstonsalem
277,2020,November,22055,6.2,greensboro
278,2020,November,33789,4.8,raleigh
279,2020,November,63315,5.6,charlotte
280,2020,October,17080,5.4,winstonsalem
281,2020,October,21975,6.2,greensboro
282,2020,October,33639,4.8,raleigh
283,2020,October,63472,5.6,charlotte
284,2020,September,19551,6.2,winstonsalem
285,2020,September,25543,7.3,greensboro
286,2020,September,38792,5.6,raleigh
287,2020,September,73751,6.5,charlotte
288,2021,April,15968,5.0,winstonsalem
289,2021,April,20160,5.7,greensboro
290,2021,April,30430,4.3,raleigh
291,2021,April,58687,5.1,charlotte
292,2021,August,15212,4.8,winstonsalem
293,2021,August,19456,5.5,greensboro
294,2021,August,30365,4.1,raleigh
295,2021,August,54376,4.7,charlotte
296,2021,December,10464,3.2,winstonsalem
297,2021,December,13452,3.7,greensboro
298,2021,December,20787,2.8,raleigh
299,2021,December,38069,3.2,charlotte
300,2021,February,17975,5.7,winstonsalem
301,2021,February,23246,6.6,greensboro
302,2021,February,35294,5.0,raleigh
303,2021,February,65656,5.7,charlotte
304,2021,January,18367,5.8,winstonsalem
305,2021,January,23500,6.7,greensboro
306,2021,January,35854,5.1,raleigh
307,2021,January,66618,5.9,charlotte
308,2021,July,16133,5.1,winstonsalem
309,2021,July,20744,5.9,greensboro
310,2021,July,32082,4.3,raleigh
311,2021,July,57852,4.9,charlotte
312,2021,June,17380,5.4,winstonsalem
313,2021,June,22206,6.3,greensboro
314,2021,June,34200,4.7,raleigh
315,2021,June,62152,5.4,charlotte
316,2021,March,16567,5.2,winstonsalem
317,2021,March,21284,6.0,greensboro
318,2021,March,32345,4.5,raleigh
319,2021,March,60557,5.3,charlotte
320,2021,May,16110,5.1,winstonsalem
321,2021,May,20753,5.9,greensboro
322,2021,May,31653,4.4,raleigh
323,2021,May,58307,5.1,charlotte
324,2021,November,12519,3.8,winstonsalem
325,2021,November,15929,4.4,greensboro
326,2021,November,24756,3.3,raleigh
327,2021,November,45034,3.8,charlotte
328,2021,October,13633,4.2,winstonsalem
329,2021,October,17377,4.8,greensboro
330,2021,October,26767,3.6,raleigh
331,2021,October,48996,4.1,charlotte
332,2021,September,13433,4.2,winstonsalem
333,2021,September,16996,4.8,greensboro
334,2021,September,25742,3.5,raleigh
335,2021,September,47804,4.1,charlotte
336,2022,April,10448,3.2,winstonsalem
337,2022,April,12817,3.5,greensboro
338,2022,April,21345,2.8,raleigh
339,2022,April,37126,3.0,charlotte
340,2022,August,13635,4.1,winstonsalem
341,2022,August,16964,4.7,greensboro
342,2022,August,27788,3.6,raleigh
343,2022,August,48005,3.9,charlotte
344,2022,December,10379,3.2,winstonsalem
345,2022,December,12919,3.6,greensboro
346,2022,December,20809,2.7,raleigh
347,2022,December,37324,3.1,charlotte
348,2022,February,11839,3.6,winstonsalem
349,2022,February,14858,4.1,greensboro
350,2022,February,23872,3.1,raleigh
351,2022,February,42792,3.5,charlotte
352,2022,January,12325,3.8,winstonsalem
353,2022,January,15565,4.3,greensboro
354,2022,January,24658,3.3,raleigh
355,2022,January,44741,3.7,charlotte
356,2022,July,12961,3.9,winstonsalem
357,2022,July,15999,4.4,greensboro
358,2022,July,26272,3.3,raleigh
359,2022,July,45178,3.7,charlotte
360,2022,June,13173,4.0,winstonsalem
361,2022,June,15937,4.4,greensboro
362,2022,June,26739,3.4,raleigh
363,2022,June,45660,3.7,charlotte
364,2022,March,11059,3.3,winstonsalem
365,2022,March,13841,3.8,greensboro
366,2022,March,22565,2.9,raleigh
367,2022,March,40326,3.3,charlotte
368,2022,May,11732,3.5,winstonsalem
369,2022,May,14179,3.9,greensboro
370,2022,May,23970,3.1,raleigh
371,2022,May,40655,3.3,charlotte
372,2022,November,11644,3.5,winstonsalem
373,2022,November,14318,3.9,greensboro
374,2022,November,23832,3.1,raleigh
375,2022,November,41559,3.4,charlotte
376,2022,October,12126,3.6,winstonsalem
377,2022,October,14807,4.0,greensboro
378,2022,October,24697,3.2,raleigh
379,2022,October,42834,3.5,charlotte
380,2022,September,11285,3.4,winstonsalem
381,2022,September,13887,3.8,greensboro
382,2022,September,23072,3.0,raleigh
383,2022,September,40038,3.3,charlotte
384,2023,April,10202,3.0,winstonsalem
385,2023,April,12718,3.4,greensboro
386,2023,April,21764,2.8,raleigh
387,2023,April,37094,3.0,charlotte
388,2023,August,11788,3.5,winstonsalem
389,2023,August,14869,4.0,greensboro
390,2023,August,25738,3.2,raleigh
391,2023,August,42831,3.4,charlotte
392,2023,December,10263,3.0,winstonsalem
393,2023,December,12920,3.5,greensboro
394,2023,December,23046,2.9,raleigh
395,2023,December,38829,3.1,charlotte
396,2023,February,11480,3.5,winstonsalem
397,2023,February,14411,3.9,greensboro
398,2023,February,23999,3.1,raleigh
399,2023,February,42192,3.4,charlotte
400,2023,January,11893,3.6,winstonsalem
401,2023,January,14786,4.0,greensboro
402,2023,January,24313,3.1,raleigh
403,2023,January,43159,3.5,charlotte
404,2023,July,11872,3.5,winstonsalem
405,2023,July,14985,4.1,greensboro
406,2023,July,25549,3.2,raleigh
407,2023,July,42362,3.3,charlotte
408,2023,June,11951,3.6,winstonsalem
409,2023,June,14903,4.1,greensboro
410,2023,June,25308,3.2,raleigh
411,2023,June,42380,3.4,charlotte
412,2023,March,11521,3.4,winstonsalem
413,2023,March,14370,3.9,greensboro
414,2023,March,24414,3.1,raleigh
415,2023,March,42518,3.4,charlotte
